Symptom Description,Specialization
My sleep patterns are disrupted; I either sleep too much or too little.,Psychiatrist
There seems to be an ear infection causing pain and discomfort.,Pediatrician
I noticed my heart beating irregularly for no apparent reason.,Cardiologist
I have severe back pain that worsens when I sit for long periods.,Orthopedic
"I feel a sharp chest pain, especially when I exert myself.",Cardiologist
I have a constant headache that doesn’t go away with medication.,General Physician
I have developed a persistent rash on my arms and neck.,Dermatologist
I need prenatal care as I’m expecting my first child.,Gynecologist
"My eyes feel extremely dry and irritated, especially in the evening.",Ophthalmologist
I have pelvic pain that intensifies during physical activity.,Gynecologist
I feel fatigued and unable to focus on my daily tasks.,General Physician
I’ve been struggling with acne that won’t go away despite treatments.,Dermatologist
I have a constant headache that doesn’t go away with medication.,General Physician
My skin feels extremely dry and sometimes cracks open.,Dermatologist
I have persistent eye pain and redness for the past few days.,Ophthalmologist
My shoulder feels swollen and I have limited movement.,Orthopedic
I have severe back pain that worsens when I sit for long periods.,Orthopedic
I have red patches on my skin that are itchy and flaky.,Dermatologist
"I feel a sharp chest pain, especially when I exert myself.",Cardiologist
I feel stressed and unable to handle everyday challenges.,Psychiatrist
"I feel anxious all the time, even when there’s nothing to worry about.",Psychiatrist
"My vision has become blurry, and I find it hard to read small texts.",Ophthalmologist
My legs are swollen and feel heavy most of the time.,Cardiologist
I’ve been struggling with acne that won’t go away despite treatments.,Dermatologist
My shoulder feels swollen and I have limited movement.,Orthopedic
Toothache,Dentist
Numbness,Neurologist
Dry eyes,Ophthalmologist
Cough,General Physician
Bad breath,Dentist
Growth issues,Pediatrician
Pregnancy care,Gynecologist
Fracture,Orthopedic
Itching,Dermatologist
Acne,Dermatologist
Stress,Psychiatrist
Chest pain,Cardiologist
Blurred vision,Ophthalmologist
Eczema,Dermatologist
Swelling in legs,Cardiologist
Tooth sensitivity,Dentist
Ear infection,Pediatrician
Migraine,Neurologist
Insomnia,Psychiatrist
Shortness of breath,Cardiologist
Blurred vision,Ophthalmologist
Swelling,Orthopedic
Joint pain,Orthopedic
Acne,Dermatologist
Fatigue,General Physician
Eczema,Dermatologist
Seizures,Neurologist
Tremors,Neurologist
Fever in children,Pediatrician
Swelling,Orthopedic
Depression,Psychiatrist
Stiffness,Orthopedic
Pelvic pain,Gynecologist
Cough,General Physician
Irregular heartbeat,Cardiologist
Growth issues,Pediatrician
Psoriasis,Dermatologist
Swelling in legs,Cardiologist
Mood swings,Psychiatrist
Swelling in legs,Cardiologist
Fever,General Physician
Back pain,Orthopedic
Shortness of breath,Cardiologist
Acne,Dermatologist
Stress,Psychiatrist
Psoriasis,Dermatologist
Cavities,Dentist
Swelling,Orthopedic
Bad breath,Dentist
Swelling,Orthopedic
Bleeding gums,Dentist
Memory loss,Neurologist
Chest pain,Cardiologist
Cough,General Physician
Itching,Dermatologist
Fever,General Physician
Numbness,Neurologist
Chest pain,Cardiologist
Swelling,Orthopedic
Fever in children,Pediatrician
Cataract,Ophthalmologist
Fever in children,Pediatrician
Tooth sensitivity,Dentist
Swelling in legs,Cardiologist
Fracture,Orthopedic
Itching,Dermatologist
Stress,Psychiatrist
Bad breath,Dentist
Toothache,Dentist
Numbness,Neurologist
Toothache,Dentist
Cough,General Physician
Toothache,Dentist
Cough in children,Pediatrician
Fatigue,General Physician
Eye pain,Ophthalmologist
Seizures,Neurologist
Menopause issues,Gynecologist
Redness in eyes,Ophthalmologist
Insomnia,Psychiatrist
Eczema,Dermatologist
Pelvic pain,Gynecologist
Itching,Dermatologist
Cough in children,Pediatrician
Anxiety,Psychiatrist
Redness in eyes,Ophthalmologist
Pregnancy care,Gynecologist
Blurred vision,Ophthalmologist
Bad breath,Dentist
Dry eyes,Ophthalmologist
Pregnancy care,Gynecologist
Fracture,Orthopedic
Seizures,Neurologist
Cavities,Dentist
Back pain,Orthopedic
Eye pain,Ophthalmologist
Cough in children,Pediatrician
Shortness of breath,Cardiologist
Growth issues,Pediatrician
Tooth sensitivity,Dentist
Ear infection,Pediatrician
Skin rash,Dermatologist
Psoriasis,Dermatologist
Cataract,Ophthalmologist
Eczema,Dermatologist
Shortness of breath,Cardiologist
Seizures,Neurologist
Fatigue,General Physician
Tremors,Neurologist
Anxiety,Psychiatrist
Growth issues,Pediatrician
Pelvic pain,Gynecologist
Cough in children,Pediatrician
Seizures,Neurologist
Bad breath,Dentist
Cough,General Physician
Mood swings,Psychiatrist
Bad breath,Dentist
Cough,General Physician
Blurred vision,Ophthalmologist
Menopause issues,Gynecologist
Skin rash,Dermatologist
Menopause issues,Gynecologist
Cough,General Physician
Insomnia,Psychiatrist
Stiffness,Orthopedic
Shortness of breath,Cardiologist
Redness in eyes,Ophthalmologist
Stiffness,Orthopedic
Migraine,Neurologist
Fever,General Physician
Ear infection,Pediatrician
Swelling,Orthopedic
Anxiety,Psychiatrist
Eczema,Dermatologist
Menopause issues,Gynecologist
Toothache,Dentist
Menopause issues,Gynecologist
Pelvic pain,Gynecologist
Skin rash,Dermatologist
Pregnancy care,Gynecologist
Irregular heartbeat,Cardiologist
Body ache,General Physician
Fatigue,General Physician
Migraine,Neurologist
Pelvic pain,Gynecologist
Pelvic pain,Gynecologist
Headache,General Physician
Memory loss,Neurologist
Blurred vision,Ophthalmologist
Bad breath,Dentist
Numbness,Neurologist
Pelvic pain,Gynecologist
Fracture,Orthopedic
Cataract,Ophthalmologist
Ear infection,Pediatrician
Depression,Psychiatrist
Chest pain,Cardiologist
Psoriasis,Dermatologist
Back pain,Orthopedic
Mood swings,Psychiatrist
Joint pain,Orthopedic
Stiffness,Orthopedic
Skin rash,Dermatologist
Memory loss,Neurologist
Growth issues,Pediatrician
Memory loss,Neurologist
Cataract,Ophthalmologist
Cough,General Physician
Shortness of breath,Cardiologist
Mood swings,Psychiatrist
Redness in eyes,Ophthalmologist
Cataract,Ophthalmologist
Insomnia,Psychiatrist
Psoriasis,Dermatologist
Chest pain,Cardiologist
Insomnia,Psychiatrist
Tooth sensitivity,Dentist
Anxiety,Psychiatrist
Ear infection,Pediatrician
Tooth sensitivity,Dentist
Stiffness,Orthopedic
Tooth sensitivity,Dentist
Seizures,Neurologist
Depression,Psychiatrist
Fever,General Physician
Insomnia,Psychiatrist
Swelling in legs,Cardiologist
Stiffness,Orthopedic
Toothache,Dentist
Menopause issues,Gynecologist
Pelvic pain,Gynecologist
Shortness of breath,Cardiologist
Dry eyes,Ophthalmologist
Swelling,Orthopedic
Eye pain,Ophthalmologist
Cough in children,Pediatrician
Fever in children,Pediatrician
Cough in children,Pediatrician
Psoriasis,Dermatologist
Fatigue,General Physician
Seizures,Neurologist
Psoriasis,Dermatologist
Menopause issues,Gynecologist
Cavities,Dentist
Back pain,Orthopedic
Memory loss,Neurologist
Back pain,Orthopedic
Pelvic pain,Gynecologist
Psoriasis,Dermatologist
Dry eyes,Ophthalmologist
Tooth sensitivity,Dentist
Seizures,Neurologist
Body ache,General Physician
Menopause issues,Gynecologist
Memory loss,Neurologist
Joint pain,Orthopedic
Seizures,Neurologist
Fever in children,Pediatrician
Anxiety,Psychiatrist
Shortness of breath,Cardiologist
Chest pain,Cardiologist
Blurred vision,Ophthalmologist
Joint pain,Orthopedic
Cough in children,Pediatrician
Fatigue,General Physician
Fatigue,General Physician
Depression,Psychiatrist
Numbness,Neurologist
Growth issues,Pediatrician
Menopause issues,Gynecologist
Back pain,Orthopedic
Joint pain,Orthopedic
Bleeding gums,Dentist
Fracture,Orthopedic
Menopause issues,Gynecologist
Tremors,Neurologist
Psoriasis,Dermatologist
Acne,Dermatologist
Tremors,Neurologist
Fracture,Orthopedic
Growth issues,Pediatrician
Bleeding gums,Dentist
Stiffness,Orthopedic
Stiffness,Orthopedic
Cough,General Physician
Joint pain,Orthopedic
Toothache,Dentist
Anxiety,Psychiatrist
Cough,General Physician
Back pain,Orthopedic
Pregnancy care,Gynecologist
Swelling in legs,Cardiologist
Headache,General Physician
Irregular heartbeat,Cardiologist
Stress,Psychiatrist
Memory loss,Neurologist
Growth issues,Pediatrician
Seizures,Neurologist
Stiffness,Orthopedic
Irregular heartbeat,Cardiologist
Bleeding gums,Dentist
Migraine,Neurologist
Insomnia,Psychiatrist
Fracture,Orthopedic
Chest pain,Cardiologist
Stress,Psychiatrist
Fever,General Physician
Menopause issues,Gynecologist
Numbness,Neurologist
Toothache,Dentist
Migraine,Neurologist
Itching,Dermatologist
Depression,Psychiatrist
Joint pain,Orthopedic
Eye pain,Ophthalmologist
Fracture,Orthopedic
Stress,Psychiatrist
Growth issues,Pediatrician
Swelling in legs,Cardiologist
Psoriasis,Dermatologist
Tremors,Neurologist
Swelling,Orthopedic
Body ache,General Physician
Insomnia,Psychiatrist
Eczema,Dermatologist
Joint pain,Orthopedic
Shortness of breath,Cardiologist
Eye pain,Ophthalmologist
Stress,Psychiatrist
Fever,General Physician
Irregular periods,Gynecologist
Psoriasis,Dermatologist
Joint pain,Orthopedic
Toothache,Dentist
Irregular heartbeat,Cardiologist
Eczema,Dermatologist
Irregular heartbeat,Cardiologist
Headache,General Physician
Menopause issues,Gynecologist
Bleeding gums,Dentist
Tooth sensitivity,Dentist
Irregular heartbeat,Cardiologist
Irregular periods,Gynecologist
Growth issues,Pediatrician
Irregular periods,Gynecologist
Fatigue,General Physician
Blurred vision,Ophthalmologist
Stress,Psychiatrist
Toothache,Dentist
Bad breath,Dentist
Tooth sensitivity,Dentist
Skin rash,Dermatologist
Dry eyes,Ophthalmologist
Blurred vision,Ophthalmologist
Migraine,Neurologist
Menopause issues,Gynecologist
Dry eyes,Ophthalmologist
Cough,General Physician
Pregnancy care,Gynecologist
Irregular heartbeat,Cardiologist
Irregular periods,Gynecologist
Ear infection,Pediatrician
Fracture,Orthopedic
Bad breath,Dentist
Eczema,Dermatologist
Fever in children,Pediatrician
Itching,Dermatologist
Dry eyes,Ophthalmologist
Cataract,Ophthalmologist
Fever in children,Pediatrician
Numbness,Neurologist
Depression,Psychiatrist
Redness in eyes,Ophthalmologist
Skin rash,Dermatologist
Body ache,General Physician
Seizures,Neurologist
Blurred vision,Ophthalmologist
Cataract,Ophthalmologist
Bad breath,Dentist
Migraine,Neurologist
Bleeding gums,Dentist
Fever in children,Pediatrician
Fatigue,General Physician
Redness in eyes,Ophthalmologist
Blurred vision,Ophthalmologist
Insomnia,Psychiatrist
Irregular heartbeat,Cardiologist
Cough,General Physician
Fracture,Orthopedic
Memory loss,Neurologist
Skin rash,Dermatologist
Menopause issues,Gynecologist
Stress,Psychiatrist
Anxiety,Psychiatrist
Pelvic pain,Gynecologist
Fever in children,Pediatrician
Itching,Dermatologist
Fatigue,General Physician
Tremors,Neurologist
Insomnia,Psychiatrist
Cavities,Dentist
Irregular heartbeat,Cardiologist
Irregular periods,Gynecologist
Bleeding gums,Dentist
Cough,General Physician
Chest pain,Cardiologist
Bleeding gums,Dentist
Insomnia,Psychiatrist
Bad breath,Dentist
Tooth sensitivity,Dentist
Eye pain,Ophthalmologist
Stress,Psychiatrist
Itching,Dermatologist
Stress,Psychiatrist
Irregular periods,Gynecologist
Depression,Psychiatrist
Shortness of breath,Cardiologist
Eczema,Dermatologist
Insomnia,Psychiatrist
Dry eyes,Ophthalmologist
Stress,Psychiatrist
Irregular heartbeat,Cardiologist
Swelling,Orthopedic
Shortness of breath,Cardiologist
Redness in eyes,Ophthalmologist
Joint pain,Orthopedic
Cough,General Physician
Irregular heartbeat,Cardiologist
Pregnancy care,Gynecologist
Pregnancy care,Gynecologist
Acne,Dermatologist
Numbness,Neurologist
Fatigue,General Physician
Swelling in legs,Cardiologist
Body ache,General Physician
Menopause issues,Gynecologist
Psoriasis,Dermatologist
Cough,General Physician
Insomnia,Psychiatrist
Cough in children,Pediatrician
Ear infection,Pediatrician
Eczema,Dermatologist
Fever in children,Pediatrician
Blurred vision,Ophthalmologist
Bad breath,Dentist
Fatigue,General Physician
Numbness,Neurologist
Irregular heartbeat,Cardiologist
Growth issues,Pediatrician
Fever in children,Pediatrician
Tooth sensitivity,Dentist
Swelling in legs,Cardiologist
Irregular periods,Gynecologist
Joint pain,Orthopedic
Numbness,Neurologist
Insomnia,Psychiatrist
Itching,Dermatologist
Anxiety,Psychiatrist
Insomnia,Psychiatrist
Joint pain,Orthopedic
Menopause issues,Gynecologist
Bad breath,Dentist
Stress,Psychiatrist
Swelling,Orthopedic
Dry eyes,Ophthalmologist
Fever in children,Pediatrician
Fatigue,General Physician
Toothache,Dentist
Fatigue,General Physician
Menopause issues,Gynecologist
Insomnia,Psychiatrist
Redness in eyes,Ophthalmologist
Insomnia,Psychiatrist
Cough in children,Pediatrician
Swelling in legs,Cardiologist
Depression,Psychiatrist
Bad breath,Dentist
Cataract,Ophthalmologist
Eye pain,Ophthalmologist
Pelvic pain,Gynecologist
Seizures,Neurologist
Stiffness,Orthopedic
Joint pain,Orthopedic
Swelling in legs,Cardiologist
Cavities,Dentist
Toothache,Dentist
Irregular heartbeat,Cardiologist
Eczema,Dermatologist
Stiffness,Orthopedic
Shortness of breath,Cardiologist
Acne,Dermatologist
Eczema,Dermatologist
Fever,General Physician
Fever,General Physician
Stress,Psychiatrist
Swelling in legs,Cardiologist
Growth issues,Pediatrician
Swelling,Orthopedic
Memory loss,Neurologist
Growth issues,Pediatrician
Growth issues,Pediatrician
Bleeding gums,Dentist
Tooth sensitivity,Dentist
Joint pain,Orthopedic
Growth issues,Pediatrician
Cough in children,Pediatrician
Menopause issues,Gynecologist
Shortness of breath,Cardiologist
Tremors,Neurologist
Growth issues,Pediatrician
Mood swings,Psychiatrist
Migraine,Neurologist
Migraine,Neurologist
Stiffness,Orthopedic
Fatigue,General Physician
Ear infection,Pediatrician
Shortness of breath,Cardiologist
Fatigue,General Physician
Headache,General Physician
Stress,Psychiatrist
Body ache,General Physician
Bleeding gums,Dentist
Growth issues,Pediatrician
Cataract,Ophthalmologist
Mood swings,Psychiatrist
Numbness,Neurologist
Headache,General Physician
Psoriasis,Dermatologist
Body ache,General Physician
Fever in children,Pediatrician
Fracture,Orthopedic
Skin rash,Dermatologist
Growth issues,Pediatrician
Itching,Dermatologist
Tremors,Neurologist
Cataract,Ophthalmologist
Fever in children,Pediatrician
Ear infection,Pediatrician
Growth issues,Pediatrician
Cough in children,Pediatrician
Redness in eyes,Ophthalmologist
Growth issues,Pediatrician
Irregular heartbeat,Cardiologist
Migraine,Neurologist
Fatigue,General Physician
Migraine,Neurologist
Toothache,Dentist
Pelvic pain,Gynecologist
Itching,Dermatologist
Cataract,Ophthalmologist
Irregular heartbeat,Cardiologist
Swelling,Orthopedic
Cough in children,Pediatrician
Pregnancy care,Gynecologist
Skin rash,Dermatologist
Skin rash,Dermatologist
Dry eyes,Ophthalmologist
Insomnia,Psychiatrist
Swelling,Orthopedic
Eye pain,Ophthalmologist
Migraine,Neurologist
Irregular heartbeat,Cardiologist
Growth issues,Pediatrician
Fever in children,Pediatrician
Cataract,Ophthalmologist
Menopause issues,Gynecologist
Blurred vision,Ophthalmologist
Blurred vision,Ophthalmologist
Numbness,Neurologist
Back pain,Orthopedic
Bad breath,Dentist
Psoriasis,Dermatologist
Memory loss,Neurologist
Growth issues,Pediatrician
Skin rash,Dermatologist
Shortness of breath,Cardiologist
Anxiety,Psychiatrist
Stiffness,Orthopedic
Stiffness,Orthopedic
Eye pain,Ophthalmologist
Menopause issues,Gynecologist
Acne,Dermatologist
Skin rash,Dermatologist
Ear infection,Pediatrician
Insomnia,Psychiatrist
Joint pain,Orthopedic
Irregular heartbeat,Cardiologist
Headache,General Physician
Cavities,Dentist
Shortness of breath,Cardiologist
Skin rash,Dermatologist
Fracture,Orthopedic
Toothache,Dentist
Body ache,General Physician
Chest pain,Cardiologist
Irregular heartbeat,Cardiologist
Fever,General Physician
Cataract,Ophthalmologist
Insomnia,Psychiatrist
Tremors,Neurologist
Chest pain,Cardiologist
Bleeding gums,Dentist
Fracture,Orthopedic
Skin rash,Dermatologist
Dry eyes,Ophthalmologist
Fatigue,General Physician
Body ache,General Physician
Growth issues,Pediatrician
Body ache,General Physician
Fracture,Orthopedic
Fatigue,General Physician
Skin rash,Dermatologist
Blurred vision,Ophthalmologist
Cough in children,Pediatrician
Pregnancy care,Gynecologist
Anxiety,Psychiatrist
Stress,Psychiatrist
Pelvic pain,Gynecologist
Fever,General Physician
Fatigue,General Physician
Psoriasis,Dermatologist
Numbness,Neurologist
Irregular heartbeat,Cardiologist
Swelling,Orthopedic
Swelling in legs,Cardiologist
Redness in eyes,Ophthalmologist
Mood swings,Psychiatrist
Irregular heartbeat,Cardiologist
Skin rash,Dermatologist
Mood swings,Psychiatrist
Cough in children,Pediatrician
Body ache,General Physician
Headache,General Physician
Swelling in legs,Cardiologist
Headache,General Physician
Toothache,Dentist
Joint pain,Orthopedic
Stiffness,Orthopedic
Insomnia,Psychiatrist
Headache,General Physician
Anxiety,Psychiatrist
Acne,Dermatologist
Cough,General Physician
Acne,Dermatologist
Back pain,Orthopedic
Numbness,Neurologist
Toothache,Dentist
Pregnancy care,Gynecologist
Memory loss,Neurologist
Fracture,Orthopedic
Tooth sensitivity,Dentist
Pelvic pain,Gynecologist
Tremors,Neurologist
Skin rash,Dermatologist
Irregular heartbeat,Cardiologist
Mood swings,Psychiatrist
Migraine,Neurologist
Fatigue,General Physician
Acne,Dermatologist
Dry eyes,Ophthalmologist
Cough,General Physician
Skin rash,Dermatologist
Anxiety,Psychiatrist
Cough,General Physician
Pregnancy care,Gynecologist
Cough in children,Pediatrician
Redness in eyes,Ophthalmologist
Tooth sensitivity,Dentist
Irregular periods,Gynecologist
Fracture,Orthopedic
Ear infection,Pediatrician
Cataract,Ophthalmologist
Fever in children,Pediatrician
Fever in children,Pediatrician
Anxiety,Psychiatrist
Mood swings,Psychiatrist
Irregular heartbeat,Cardiologist
Stress,Psychiatrist
Blurred vision,Ophthalmologist
Numbness,Neurologist
Bad breath,Dentist
Menopause issues,Gynecologist
Bad breath,Dentist
Fever in children,Pediatrician
Tremors,Neurologist
Swelling in legs,Cardiologist
Depression,Psychiatrist
Headache,General Physician
Fever in children,Pediatrician
Irregular periods,Gynecologist
Ear infection,Pediatrician
Eye pain,Ophthalmologist
Irregular heartbeat,Cardiologist
Numbness,Neurologist
Cough in children,Pediatrician
Numbness,Neurologist
Toothache,Dentist
Memory loss,Neurologist
Fever in children,Pediatrician
Depression,Psychiatrist
Menopause issues,Gynecologist
Back pain,Orthopedic
Blurred vision,Ophthalmologist
Pregnancy care,Gynecologist
Migraine,Neurologist
Back pain,Orthopedic
Redness in eyes,Ophthalmologist
Fracture,Orthopedic
Irregular heartbeat,Cardiologist
Insomnia,Psychiatrist
Migraine,Neurologist
Swelling in legs,Cardiologist
Memory loss,Neurologist
Depression,Psychiatrist
Cavities,Dentist
Pregnancy care,Gynecologist
Cough in children,Pediatrician
Redness in eyes,Ophthalmologist
Depression,Psychiatrist
Skin rash,Dermatologist
Dry eyes,Ophthalmologist
Bad breath,Dentist
Numbness,Neurologist
Bad breath,Dentist
Blurred vision,Ophthalmologist
Headache,General Physician
Headache,General Physician
Swelling,Orthopedic
Pelvic pain,Gynecologist
Stress,Psychiatrist
Irregular heartbeat,Cardiologist
Cataract,Ophthalmologist
Eczema,Dermatologist
Menopause issues,Gynecologist
Migraine,Neurologist
Fever in children,Pediatrician
Back pain,Orthopedic
Toothache,Dentist
Dry eyes,Ophthalmologist
Irregular periods,Gynecologist
Pelvic pain,Gynecologist
Anxiety,Psychiatrist
Joint pain,Orthopedic
Stiffness,Orthopedic
Headache,General Physician
Joint pain,Orthopedic
Acne,Dermatologist
Tooth sensitivity,Dentist
Tremors,Neurologist
Body ache,General Physician
Pregnancy care,Gynecologist
Anxiety,Psychiatrist
Body ache,General Physician
Eye pain,Ophthalmologist
Swelling in legs,Cardiologist
Seizures,Neurologist
Mood swings,Psychiatrist
Memory loss,Neurologist
Pregnancy care,Gynecologist
Chest pain,Cardiologist
Body ache,General Physician
Growth issues,Pediatrician
Shortness of breath,Cardiologist
Menopause issues,Gynecologist
Cavities,Dentist
Redness in eyes,Ophthalmologist
Ear infection,Pediatrician
Migraine,Neurologist
Tooth sensitivity,Dentist
Fever,General Physician
Swelling in legs,Cardiologist
Menopause issues,Gynecologist
Stress,Psychiatrist
Irregular periods,Gynecologist
Cough,General Physician
Blurred vision,Ophthalmologist
Anxiety,Psychiatrist
Swelling in legs,Cardiologist
Pregnancy care,Gynecologist
Headache,General Physician
Fever,General Physician
Skin rash,Dermatologist
Redness in eyes,Ophthalmologist
Back pain,Orthopedic
Numbness,Neurologist
Itching,Dermatologist
Fracture,Orthopedic
Cough,General Physician
Psoriasis,Dermatologist
Seizures,Neurologist
Cataract,Ophthalmologist
Irregular heartbeat,Cardiologist
Cough,General Physician
Redness in eyes,Ophthalmologist
Memory loss,Neurologist
Tremors,Neurologist
Bleeding gums,Dentist
Fever,General Physician
Fever in children,Pediatrician
Tooth sensitivity,Dentist
Swelling in legs,Cardiologist
Swelling,Orthopedic
Fracture,Orthopedic
Swelling in legs,Cardiologist
Migraine,Neurologist
Pelvic pain,Gynecologist
Joint pain,Orthopedic
Acne,Dermatologist
Body ache,General Physician
Cough,General Physician
Back pain,Orthopedic
Growth issues,Pediatrician
Growth issues,Pediatrician
Tooth sensitivity,Dentist
Body ache,General Physician
Eye pain,Ophthalmologist
Bad breath,Dentist
Cough in children,Pediatrician
Ear infection,Pediatrician
Chest pain,Cardiologist
Cough in children,Pediatrician
Pelvic pain,Gynecologist
Psoriasis,Dermatologist
Stress,Psychiatrist
Tremors,Neurologist
Fatigue,General Physician
Insomnia,Psychiatrist
Bad breath,Dentist
Swelling in legs,Cardiologist
Ear infection,Pediatrician
Toothache,Dentist
Skin rash,Dermatologist
Stiffness,Orthopedic
Shortness of breath,Cardiologist
Stiffness,Orthopedic
Anxiety,Psychiatrist
Eczema,Dermatologist
Migraine,Neurologist
Insomnia,Psychiatrist
Headache,General Physician
Shortness of breath,Cardiologist
Tremors,Neurologist
Cataract,Ophthalmologist
Mood swings,Psychiatrist
Menopause issues,Gynecologist
Chest pain,Cardiologist
Mood swings,Psychiatrist
Fever in children,Pediatrician
Shortness of breath,Cardiologist
Cavities,Dentist
Memory loss,Neurologist
Depression,Psychiatrist
Menopause issues,Gynecologist
Bleeding gums,Dentist
Cough,General Physician
Memory loss,Neurologist
Stress,Psychiatrist
Swelling in legs,Cardiologist
Cavities,Dentist
Swelling in legs,Cardiologist
Growth issues,Pediatrician
Fever in children,Pediatrician
Fever in children,Pediatrician
Seizures,Neurologist
Menopause issues,Gynecologist
Pelvic pain,Gynecologist
Migraine,Neurologist
Menopause issues,Gynecologist
Headache,General Physician
Bad breath,Dentist
Stress,Psychiatrist
Shortness of breath,Cardiologist
Ear infection,Pediatrician
Cataract,Ophthalmologist
Migraine,Neurologist
Seizures,Neurologist
Anxiety,Psychiatrist
Growth issues,Pediatrician
Pregnancy care,Gynecologist
Fracture,Orthopedic
Fracture,Orthopedic
Cataract,Ophthalmologist
Fracture,Orthopedic
Cavities,Dentist
Fatigue,General Physician
Migraine,Neurologist
Chest pain,Cardiologist
Stiffness,Orthopedic
Psoriasis,Dermatologist
Irregular periods,Gynecologist
Mood swings,Psychiatrist
Dry eyes,Ophthalmologist
Pregnancy care,Gynecologist
Eczema,Dermatologist
Bad breath,Dentist
Back pain,Orthopedic
Cough in children,Pediatrician
Redness in eyes,Ophthalmologist
Fracture,Orthopedic
Cough,General Physician
Eye pain,Ophthalmologist
Dry eyes,Ophthalmologist
Joint pain,Orthopedic
Anxiety,Psychiatrist
Memory loss,Neurologist
Seizures,Neurologist
Stiffness,Orthopedic
Swelling,Orthopedic
Tremors,Neurologist
Growth issues,Pediatrician
Shortness of breath,Cardiologist
Memory loss,Neurologist
Pregnancy care,Gynecologist
Pelvic pain,Gynecologist
Fever in children,Pediatrician
Shortness of breath,Cardiologist
Cataract,Ophthalmologist
Migraine,Neurologist
Tremors,Neurologist
Stiffness,Orthopedic
Eczema,Dermatologist
Tooth sensitivity,Dentist
Bad breath,Dentist
Shortness of breath,Cardiologist
Shortness of breath,Cardiologist
Cataract,Ophthalmologist
Depression,Psychiatrist
Stiffness,Orthopedic
Eye pain,Ophthalmologist
Back pain,Orthopedic
Growth issues,Pediatrician
Eye pain,Ophthalmologist
Irregular heartbeat,Cardiologist
Bad breath,Dentist
Irregular heartbeat,Cardiologist
Acne,Dermatologist
Fever in children,Pediatrician
Menopause issues,Gynecologist
Body ache,General Physician
Acne,Dermatologist
Bleeding gums,Dentist
Numbness,Neurologist
Pelvic pain,Gynecologist
Depression,Psychiatrist
Dry eyes,Ophthalmologist
Tremors,Neurologist
Anxiety,Psychiatrist
Menopause issues,Gynecologist
Irregular periods,Gynecologist
Pregnancy care,Gynecologist
Skin rash,Dermatologist
Itching,Dermatologist
Headache,General Physician
Pregnancy care,Gynecologist
Growth issues,Pediatrician
Irregular periods,Gynecologist
Dry eyes,Ophthalmologist
Skin rash,Dermatologist
Dry eyes,Ophthalmologist
Fever in children,Pediatrician
Growth issues,Pediatrician
Irregular periods,Gynecologist
Tooth sensitivity,Dentist
Back pain,Orthopedic
Chest pain,Cardiologist
Psoriasis,Dermatologist
Anxiety,Psychiatrist
Swelling in legs,Cardiologist
Shortness of breath,Cardiologist
Shortness of breath,Cardiologist
Fatigue,General Physician
Cataract,Ophthalmologist
Chest pain,Cardiologist
Bad breath,Dentist
Fatigue,General Physician
Bad breath,Dentist
Bad breath,Dentist
Acne,Dermatologist
Mood swings,Psychiatrist
Pregnancy care,Gynecologist
Fatigue,General Physician
Psoriasis,Dermatologist
Skin rash,Dermatologist
Eye pain,Ophthalmologist
Irregular heartbeat,Cardiologist
Numbness,Neurologist
Ear infection,Pediatrician
Menopause issues,Gynecologist
Joint pain,Orthopedic
Cough in children,Pediatrician
Migraine,Neurologist
Irregular heartbeat,Cardiologist
Irregular periods,Gynecologist
Pregnancy care,Gynecologist
Pelvic pain,Gynecologist
Pelvic pain,Gynecologist
Itching,Dermatologist
Shortness of breath,Cardiologist
Redness in eyes,Ophthalmologist
Body ache,General Physician
Stress,Psychiatrist
Pregnancy care,Gynecologist
Acne,Dermatologist
Shortness of breath,Cardiologist
Tooth sensitivity,Dentist
Cough,General Physician
Stress,Psychiatrist
Tremors,Neurologist
Headache,General Physician
Psoriasis,Dermatologist
Memory loss,Neurologist
Acne,Dermatologist
Anxiety,Psychiatrist
Insomnia,Psychiatrist
Cough,General Physician
Skin rash,Dermatologist
Irregular periods,Gynecologist
Fever,General Physician
Toothache,Dentist
Fatigue,General Physician
Memory loss,Neurologist
Dry eyes,Ophthalmologist
Anxiety,Psychiatrist
Cough in children,Pediatrician
Fever in children,Pediatrician
Swelling,Orthopedic
Swelling in legs,Cardiologist
Depression,Psychiatrist
Cough in children,Pediatrician
Memory loss,Neurologist
Fatigue,General Physician
Irregular periods,Gynecologist
Anxiety,Psychiatrist
Acne,Dermatologist
Fever in children,Pediatrician
Depression,Psychiatrist
Mood swings,Psychiatrist
Irregular heartbeat,Cardiologist
Eye pain,Ophthalmologist
Anxiety,Psychiatrist
Menopause issues,Gynecologist
Bad breath,Dentist
Ear infection,Pediatrician
Dry eyes,Ophthalmologist
Cataract,Ophthalmologist
Anxiety,Psychiatrist
Anxiety,Psychiatrist
Chest pain,Cardiologist
Psoriasis,Dermatologist
Ear infection,Pediatrician
Fracture,Orthopedic
Pelvic pain,Gynecologist
Fatigue,General Physician
Stress,Psychiatrist
Fever,General Physician
Acne,Dermatologist
Acne,Dermatologist
Blurred vision,Ophthalmologist
Pregnancy care,Gynecologist
Pregnancy care,Gynecologist
Redness in eyes,Ophthalmologist
Joint pain,Orthopedic
Eczema,Dermatologist
Toothache,Dentist
Toothache,Dentist
Stiffness,Orthopedic
Back pain,Orthopedic
Back pain,Orthopedic
